lAboutText1	~1~ ~2~ (~3~ bit)
lMenuListApplicationsDescription	Titolo Lista, percorso del processo ed altre proprietà di finestre in esecuzione. Fai doppio-clic su una finestra per visualizzare una casella di dialogo dove puoi cambiare finestra o chiuderla.
lMenuMenu	Menù
lMenuMyMusic	Musica
lMenuMyQAPMenu	Strumenti di QAP
lMenuMySpecialMenu	Cartelle Speciali
lMenuMyVideo	Video
lMenuMyWindowsAppsMenu	Le Mie App Windows
lMenuNoCurrentFolder	Nessuna cartella attualmente aperta...
lMenuOpenWorkingDirectory	Apri la directory di lavoro di QAP
lMenuOptions	Opzioni
lMenuPictures	Immagini
lMenuPopularFiles	File
lMenuPopularFolders	Cartelle
lMenuPopularMenusDescription	Visualizza un menù dinamico che mostra la ~1~ usata più di frequente secondo quanto stimato da Windows, e usata in QAP. Questo menù viene aggiornato ogni volta che apri il menù QAP.
lMenuPopularMenusFiles	File Frequenti
lMenuPopularMenusFolders	Cartelle Frequenti
lMenuPopularMenusWillImprove	Questo menù migliorerà usando ~1~...
lMenuProgramFiles	Programmi
lMenuProgramsFolderStartMenu	Programmi (Menù Avvio)
lMenuPublicLibraries	Raccolte Pubbliche
lMenuQuickLaunch	Avvio veloce
lMenuRecentFiles	File Recenti
lMenuRecentFilesDescription	Visualizza un menù dinamico contenente i dieci documenti usati più di recente, come li elenca Windows nella sua cartella virtuale "Oggetti Recenti". You can configure the number of items in this menu in the "Options", "Menu" tab.`n`nGli elementi in questo menù sono ordinati con il file più recente in testa, come ricordato da Windows.
lMenuRecentFolders	Cartelle Recenti
lMenuRecentFoldersDescription	Visualizza un menù dinamico contenente le dieci cartelle aperte più di recente, come le elenca Windows nella sua cartella virtuale "Oggetti Recenti". Puoi configurare il numero di oggetti in questo menù nelle "Opzioni", tab "Menù".`n`nGli elementi in questo menù sono ordinati con la cartella più recente in testa, come ricordata da Windows.
lMenuRecentItems	Oggetti Recenti
lMenuRefreshMenu	Aggiorna Cartelle Live e Menù Condivisi
lMenuRefreshMenuDescription	Rigenera manualmente i menù "Cartelle Live". Questa azione può anche essere eseguita ripetutamente inserendo un intervallo (in secondi) nel menù "Ricaricamento programmato del menù QAP" nel tab "Menù" nella finestra "Opzioni".`n`nDurante il breve tempo di rigenerazione (a seconda del numero di Cartelle Live o menù Condivisi), il menù QAP non è disponibile.
lMenuReload	Riavvia ~1~
lMenuReloadDescription	Riavvia Quick Access Popup.`n`nAccertati di salvare le modifiche nella finestra "Personalizzare" prima di riavviare QAP.
lMenuReopenCurrentFolder	Riapri la Cartella Corrente nella Casella di Dialogo
lMenuReopenCurrentFolderDescription	Usa come cartella corrente nelle caselle di dialogo per i file, quella attiva in Windows Explorer.`n`nPer usare questa funzionalità, deve essere settata l'opzione "Cambia cartella nelle caselle di dialogo..." nelle "Opzioni", tab "Generale".
lMenuReopenInNewWindow	Riapri la Cartella Corrrente dalla casella di Dialogo
lMenuReopenInNewWindowDescription	Riapri la cartella corrente in una nuova finestra di Explorer (vale anche per Directory Opus o Total Commander). Utile quando vuoi aprire la cartella che stai sfogliando in una casella di dialogo per file, in una finestra di Explorer.
lMenuResetQAPSpecialDefaultNames	Resetta Nomi di Default delle Cartelle Speciali e Caratteristiche di QAP
lMenuRestoreSettingsWindowPosition	Ripristina la posizione della finestra "Personalizzare"
lMenuRestoreSettingsWindowPositionDescription	Ripristina dimensione finestra e posizione della finestra "Personalizzare" al centro dello schermo principale.
lMenuRunAtStartup	Esegui all'Avvio
lMenuSelectAll	Sleziona tutti gli elementi
lMenuSettings	Personalizzare
lMenuSettingsDescription	Visualizza la finestra "Personalizzare" in cui puoi personalizzare il menù popup QAP, gestire i tuoi preferiti e settare varie opzioni.`n`nPer impostazione predefinita, questa funzione è inclusa nel menù Principale.
lMenuStartMenu	Menù Avvio
lMenuStartup	Esecuzione Automatica
lMenuSuspendHotkeys	Sospendi Scorciatoie
lMenuSwitchFolderOrApp	Finestre in uso
lMenuSwitchFolderOrAppDescription	Visualizza un menù dinamico in due parti:`n1) le cartelle già aperte in finestre di Windows Explorer e Directory Opus`n2) le applicazioni attualmete in esecuzione nel tuo sistema (cominciando con la finestra attivata più di recente, e a seguire).`n`nQuando selezioni un elemento, la sua finestra viene automaticamente portata in primo piano.`n`nQuesto menù viene rigenerato ogni volta che apri il menù QAP.
lMenuSwitchSettings	Cambiare il file delle Impostazioni
lMenuSwitchSettingsDefault	Passa al file delle impostazioni predefinite
lMenuSwitchSettingsDefaultDescription	Riavvia Quick Access Popup con il file di Impostazioni presente nella posizione predefinita.`n`nSe hai installato QAP usando la procedura "installazione immediata", la posizione predefinita si trova nella cartella Utente (per esempio, "C:\Users\Jean\AppData\Roaming\Quick Access Popup").`n`nSe invece hai optato per l'installazione portabile, la posizione predefinita è la stessa da cui viene richiamato il programma eseguibile QuickAccessPopup.exe.
lMenuSwitchSettingsDescription	Seleziona un altro file di impostazioni QAP e riavvia Quick Access Popup con tali impostazioni (inclusi preferiti e opzioni varie).`n`nAssicurati di aver salvato le modifiche nella finestra "Personalizzare" prima di riavviare QAP.
lMenuSystemCertificates	Certificati di Sistema
lMenuTemplates	Modelli
lMenuTemporaryFiles	File temporanei
lMenuTools	Strumenti
lMenuUpdate	Cerca aggiornamenti
lMenuUpdateDescription	Controlla sul sito web di Quick Access Popup se è disponibile una nuova versione.
lMenuUserFolder	Cartella Utente
lMenuUserPinned	Collegamenti evidenziati dall'utente
lMessengerCloseQAPSettings	Una finestra delle Impostazioni è aperta in ~1~, eventualmente con modifiche non salvate.`n`nSi consiglia di chiudere le finestre di impostazioni prima di usare questo menù contestuale.
lMessengerDoNotRun	Non eseguire ~1~ direttamente. Puoi in alternativa:`n`n- fare un click-destro su un'icona di file/cartella in Explorer per aggiungerli al menù`n- click-destro in una finestra di Explorer (ossia sul suo sfondo) per aggiungere tale cartella`n- click-destro sullo sfondo del Desktop per aprire il menù a popup.`n`nAssicurati che ~2~ sia in esecuzione prima di usare i suoi menù contestuali. Vedere la casella di spunta  "Menù contestuali" nella finestra "Opzioni" ~2~.
lMessengerError	Si è verificato un errore.`n`nAssicurati che ~1~ sia in esecuzione prima di usare i suoi menù contestuali.
lMessengerHelp	Cerca "Messenger" su www.QuickAccessPopup.com per aiuto.
lNavigateFileError	C'è stato un errore nell'aprire la cartella:`n~1~.
lNavigateSpecialError	C'è stato un errore nell'aprire la cartella speciale #~1~.
lOopsAddThisFolderTip	Per ottenere un risultato migliore dal comando "Aggiungi Cartella Attiva o Pagina Web":`n`n1) Attiva la finestra ~1~ contenente la cartella o link da aggiungere al menù.`n2) Apri il menù popup usando ~2~.`n3) Seleziona "Aggiungi Cartella Attiva o Pagina web" e salva il nuovo Preferito.
lOopsAmpersandInName	L'ampersand "&" viene riservato per assegnare scorciatoie da tastiera nei nomi dei menù di Windows. Per visualizzare un ampersand nel nome di un menù, inseriscilo così: "&&".`n`nPer maggiori informazioni, cerca "ampersand" nelle FAQ del sito web di QAP.
lOopsCannotCopyFavorite	Preferiti di tipo "~1~" non possono essere copiati.
lOopsCannotCopyMoveToSelf	Non puoi spostare o copiare preferiti nella loro attuale collocazione. Per favore, seleziona una destinazione differente.
lOopsChangeFolderInDialogAlert	Hai intenzione di cambiare cartella da questa casella di dialogo? Per poter navigare all'interno di una casella di dialogo, è necessario abilitare un'opzione nel gruppo impostazioni "Generale".`n`nVuoi aprire la finestra delle Opzioni?
lOopsCouldNotOpenSpecialFolder	~1~ non è riuscito ad aprire la Cartella Speciale: "~2~".
lOopsEmpty	vuoto
lOopsErrorIniFileDisplayErrorMessage	Vuoi visualizzare di nuovo questo messaggio di errore per questo Menù Condiviso?
lOopsErrorIniFileModified	Questo menù condiviso è stato modificato dopo essere stato aperto. Il menù verrà aggiornato con le modifiche apportate, che però NON saranno salvate e verranno perse.
lOopsErrorIniFileReadOnly	Questo file delle impostazioni del menù condiviso o questa posizione è di SOLA-LETTURA.
lOopsErrorIniFileRetry	Se il file delle impostazioni si trova su un disco di rete, prova a ricaricare ~1~ quando il disco di rete sarà disponibile.
lOopsErrorIniFileUnavailable	Questo file di impostazioni del menù esterno non è disponibile
lOopsErrorReadingIniFile	C'è stato un errore leggendo questo file di impostazioni:
lOopsExternalFileWriteError	Si è verificato un errore scrivendo nel file delle impostazioni del menù condiviso:`n~1~.`n`nAssicurati che tale file (o la sua cartella) non sia di sola lettura.
lOopsExternalFileWriteErrorCollaborative	Non puoi modificare il contenuto di questo menù Condiviso. Se ritieni che dovresti avervi accesso, per favore contatta il tuo amministratore di sistema.
lOopsExternalNotAllowedUnderExternal	Non sono permessi Menù condivisi all'interno di altri menù condivisi. Per favore, seleziona un altro menù di origine nel tab "Impostazioni del Menù".
lOopsExternalReadOnlyAlert	Menù condivisi di tipo "Centralizzato" possono essere modificati soltanto da utente(i) nel campo "~1~" (o aprendo il file ini sul disco condiviso usando un editor di testo).`n`nIl tuo nome utente è: "~2~".`nIl nome del tuo computer è: "~3~".
lOopsExternalReadOnlyAlertUsernameAdded	Il tuo nome utente è stato automaticamente aggiunto all'elenco di "Utenti con accesso in scrittura".
lOopsExternalSelectType	Per favore scegli il tipo di menù condiviso nel tab "Menù condiviso".
lOopsFavoritesCopied	~1~ preferiti copiati.
lOopsFileExpandedFrom	Espanso da
lOopsFileNotFound	Questa destinazione non esiste
lOopsFirstEnterUrl	Dapprima inserisci un indirizzo nel campo "~1~".
lOopsFtpLocationProtocol	L'indirizzo di un sito FTP deve iniziare con "ftp://".
lOopsHotkeyAlreadyUsed	La combinazione di tasti "~1~" è già usata per ~2~.`n`nE' necessario scegliere un altra combinazione per ~3~.
lOopsHotkeyObjectNotFound	~1~ potrebbe non trovare il preferito associato al ~2~ "~3~".`n`nQuesta può essere una situazione temporanea. Prova a riavviare ~1~.
lOopsHotstringTriggerTooLong	Hotstring trigger too long. Hotstring triggers can be no more than 40 characters long.<<<<
lOopsHttpLocationTransformed	La destinazione http (in formato URL) è stato convertita in un percorso di rete (formato UNC) per compatibilità con Windows :`n`n~1~`n~2~
lOopsInvalidWinCmdIni	File delle impostazioni di Total Commander ("wincmd.ini") non trovato.`n`nSelezionalo in "Opzioni" > "File manager".
lOopsInvalidWindowPosition	Valori non validi per la posizione della finestra
lOopsJLiconsError	Icona di QAP per l'area notifiche non trovata. Assicurati di aver aggiornato il file JLicons.dll in ~1~.
lOopsLaunchWithNotFound	File dell'applicazione non trovato per "Esegui con questa applicazione":`n`n~1~`n`nControlla le impostazioni avanzate del Preferito.
lOopsMaxLiveFolder	Il massimo numero di elementi nelle Cartelle Live (~1~) è stato superato. Per favore, riduci il numero di livelli di cartelle live.`n`nPotresti anche aumentare tale limite ma fai attenzione: un numero troppo alto può comportare effetti non prevedibili. Edita il valore in "Impostazioni", sezione "Opzioni Avanzate del Menu".
lOopsMenuExternalCentralized	menù condiviso centralizzato
lOopsMenuExternalCollaborative	menù condiviso collaborativo
lOopsMenuExternalPersonalChangedBy	Questo menù personale condiviso è attualmente in corso di MODIFICHE o ci sono modifiche ancora NON SALVATE sul computer: ~1~.`n`nSe salvi delle modifiche a questo menù qui, le modifiche non ancora salvate sull'altro computer saranno perse e dovresti annullare tali modifiche quando ritorni su quel computer.
lOopsMenuExternalReservedBy	Questo ~1~ è RISERVATO dall'utente: ~2~.`n`nAspetta che tale utente rilasci il menù condiviso o contatta l'amministratore di sistema.
lOopsNotAdmin	Non é stato possibile ~1~ come Amministratore.`n`nE' pertanto in esecuzione in modalitá Normale.
lOopsOptionsPathNotExist	~1~ non esiste:`n~2~`n`nPer favore, seleziona un percorso valido.
lOopsOptionsPathTrayIcon	File dell'icona nell'area notifiche
lOopsOSVerrsionError	~1~ richiede Window 7 o un sistema operativo più recente. Windows Vista e utenti XP sono invitati ad usare il Folders Popup che è compatibile con queste versioni.`n`nVuoi visitare il sito web di Folders Popup?
lOopsSelectedItemDialogBoxes	L'oggetto selezionato non può essere individuato in caselle di dialogo.
lOopsSelectedItemTotalCommander	L'oggetto selezionato non può essere individuato in finestre di Total Commander.
lOopsSortUpToSeparator	Ordinamento eseguito fino al primo separatore.
lOopsTitle	~1~ (~2~)
lOopsUnknownTargetAppName	C'è stato un errore cercando di aprire questo preferito. Per favore, prova di nuovo...
lOopsUsageDbSQLiteMissing	File di risorsa SQLite mancanti:`n`n~1~`nNon è stato possibile costruire i menù di file/cartelle Frequenti.
lOopsWriteProtectedError	Sembra che ~1~ sia eseguito da una cartella PROTETTA-IN-SCRITTURA perchè non è stato possibile creare il file di configurazione "~1~.ini".`n`nSposta il file ~1~ .EXE in una cartella NON-PROTETTA di tua scelta e ri-eseguilo da quest'ultima.`n`n~1~ verrà chiuso.
lOopsWrongThirdPartyPath	Nome del file o percorso sbagliato per ~1~:`n~2~.`n`nControlla il file .exe selezionato per ~1~ nelle "Opzioni", tab "~3~".
lOopsWrongThirdPartyPathQAPconnect	Wrong percorso o nome del file per l'applicazione di QAPconnect`n~1~:`n~2~.`n`nControlla i valori per [~1~] in ~3~. Clicca su "~4~" in "Opzioni", tab "~5~".
lOopsZipFileError	Sembra che ~1~ sia stato eseguito direttamente da un archivio .ZIP .`n`nE' necessario dapprima estrarre il file ~1~ .EXE dall'archivio .ZIP in una cartella di tua scelta prima di eseguirlo.`n`n~1~ verrà chiuso.
lOptionsAddAutoAtTop	Quando aggiungi automaticamente, inserisci il preferito nella
lOptionsAddAutoBottomOfMenu	parte inf. del menù
lOptionsAddAutoTopOfMenu	parte sup. del menù
lOptionsAddCloseToDynamicMenus	Aggiungi "Chiudi" ai menù
lOptionsAdvancedLaunch	Apri le Opzioni Avanzate
lOptionsAdvancedOther	Opzioni Avanzate varie
lOptionsAlternativeMenuFeatures	Combinazioni di tasti per il Menù Alternativo
lOptionsAlternativeMenuFeaturesIntro	Gestisci le scorciatoie che lanciano le funzionalità del Menù Alternativo.
lOptionsAlternativeMenuShowNotification	Mostra una notifica quando si sta usando il Menù Alternativo
lOptionsAlternativeTrayIcon	Sostituzione icona in area notifiche di QAP (file, indice)
lOptionsBackupFolder	Cartella di backup del file delle Impostazioni principali
lOptionsCataloguePath	Cartella radice del catalogo
lOptionsChangeFolderInDialog	Cambia cartella da casella di dialogo con gli hotkeys principali di QAP (mouse e tastiera)
lOptionsChangeFolderInDialogCheckbox	Clic "OK" per confermare che capisci le possibili conseguenze di usare erroneamente la funzionalità per cambiare cartella da caselle di dialogo non di tipo "file".
lOptionsChangeFolderInDialogText	Attiva questa opzione per abilitare la navigazione delle cartelle in caselle di dialogo (Apri, Salva come, ecc.) ma sei pregato di leggere il seguente avvertimento.`n`nDevi usare questa funzione SOLTANTO in caselle di dialogo per "file". Se la usi in altri tipi di caselle di dialogo, per esempio in una casella di dialogo "Impostazioni", provare a cambiare cartella potrebbe modificare e salvare valori nella casella di dialogo senza alcun preavviso.
lOptionsChangeHotkey	Cambia
lOptionsCheck4Update	Cerca Aggiornamenti
lOptionsCheck4UpdateNow	controlla adesso
lOptionsClipboardMaxSize	Non aggiornare il menù "Appunti" se la dimensione è maggiore di:
lOptionsClipboardMaxSizeDefault	(valore predefinito 10000 bytes)
lOptionsControlDoublePressed	Apri il menù principale con Ctrl + Ctrl (tasto CTRL premuto due volte)
lOptionsControlDoublePressedLeft	Tasto CTRL sinistro attivo
lOptionsControlDoublePressedRight	Tasto CTRL destro attivo
lOptionsDatabase	Database
lOptionsDisplayIcons	Mostra Icone nel Menù
lOptionsDisplayMenuShortcuts	Mostra scorciatoie numeriche nei Menù
lOptionsDisplayMenuShortcutsFromOne	Comincia le Scorciatoie Numeriche del Menù da 1 (invece di 0)
lOptionsEnableExternalMenusCatalogue	Abilita il Catalogo del Menù Condiviso
lOptionsExclusionMouseList	Exclusioni per il tasto del mouse di QAP
lOptionsExclusionMouseListDescription	Lista delle esclusioni per l'apertura del menù tramite Mouse [~1~]
lOptionsExclusionMouseListDetail1	Per impedire l'apertura del menù di QAP col mouse [~1~] in una applicazione, inserisci anche parzialmente l'intestazione della finestra dell'applicazione . Puoi introdurre più di una esclusione, una per linea. Per esempio, per escludere Chrome e MS Word, inserisci le seguenti due linee nella lista delle esclusioni:`n`nGoogle Chrome`nMicrosoft Word
lOptionsExclusionMouseListDetail2	La combinazione per aprire QAP sarà disabilitata in queste applicazioni e il click [~1~] sarà inviato alla finestra indicata come se QAP non fosse in esecuzione. Puoi anche escludere finestre usando il nome della loro classe o del loro processo (nome del file EXE). Usa * (asterisco) come prefisso per il titolo o la classe per escludere anche le caselle di dialogo dell'applicazione. Puoi trovare aiuto e supporto per questa funzionalità qui <a href="~2~">sul sito web QAP</a>.
lOptionsExplorerContextMenus	Abilita i menù contestuali di WIndows Explorer
lOptionsFileManagerNavigateCurrent	la finestra attuale ~1~
lOptionsFileManagerNavigateCurrentTab	il tab ~1~ corrente
lOptionsFileManagerNavigateIntro	Aprendo il menù QAP al di fuori di ~1~, apri le cartelle in:
lOptionsFileManagerNavigateNew	una nuova finestra ~1~
lOptionsFileManagerNavigateNewTab	un nuovo tab ~1~
lOptionsFileManagers	File Manager
lOptionsFtpEncoding	Codifica nome utente e password FTP (consigliato)
lOptionsFtpEncodingTC	Codifica nome utente e password FTP (non consigliato per Total Commander)
lOptionsGeneral	Generale
lOptionsGuiTitle	Opzioni - ~1~ ~2~
lOptionsHotkeyRemindersFull	Mostra nomi completi e sequenze di sostituzione complete
lOptionsHotkeyRemindersNo	Non mostrare
lOptionsHotkeyRemindersPrompt	Promemoria delle combinazioni di tasti e sequenze di sostituzione nel menù:
lOptionsHotkeyRemindersShort	Visualizza abbreviati
lOptionsHotstringsDefault	Opzioni predefinite delle Sequenze di sostituzione
lOptionsHotstringsDefaultSelect	Seleziona
lOptionsIconReplacementList	Icone di riserva per QAP
lOptionsIconReplacementListInstructions	Inserisci le icone di riserva per QAP, una per riga. Ciascuna linea deve iniziare col nome dell'icona per QAP (e.g. "iconaCartellaLive"), seguito dal segno di uguale "=" e il  "file,indice" dell'icona di sostituzione. Il "file,indice" contiene il percorso del file (.ico, .dll o .exe) contenente l'icona, e l'indice che è la posizione dell'icona in tale file, e.g. "C:\Icone\MioFile.dll,1".
lOptionsIconSize	Dimensione delle icone
lOptionsIconsManageRows	Righe della finestra Gestione Icone (0 per usare tutto lo spazio disponibile)
lOptionsIconsRetrieveInFrequentMenus	Carica le icone nel fare l'aggiornamento delle Cartelle frequenti e Menù file frequenti (evitare quando alcuni file sono spesso offline)
lOptionsLanguage	Lingua
lOptionsLanguageLabels	Inglese|Francese|Tedesco|Spagnolo|Portoghese (BR)|Italiano|Portoghese|Olandese|Korean
lOptionsMenuActiveWindow	In alto a sinistra della finestra attiva
lOptionsMenuAdvanced	Opzioni Avanzate Menù
lOptionsMenuAppearance	Aspetto dei Menù
lOptionsMenuFixPosition	In posizione prefissata
lOptionsMenuIcons	Icone dei Menù
lOptionsMenuNearMouse	Vicino al puntatore del mouse
lOptionsMenuPositionPrompt	Apri il menù popup:
lOptionsMouseAndKeyboard	Menù scorciatoie
lOptionsMoveWorkingFolderTitle	Cambia Impostazioni della posizione della cartella
lOptionsMoveWorkingFolderType	Vuoi copiare le impostazioni correnti in questa nuova posizione:`n`n~1~`n`nSe selezioni COPIA, ~2~ sarà ricaricato con le impostazioni correnti COPIATE nella nuova posizione.`n`nSe selezioni NUOVO, ~2~ sarà ricaricato con le impostazioni che già si trovano (eventualmente create) in questa NUOVA POSIZIONE.
lOptionsNbLiveFolderItemsMax	Massimo numero di voci nelle cartelle Live:
lOptionsNbLiveFolderItemsMaxDefault	(valore predefinito 500 voci)
lOptionsOpenFavoritesOnActiveMonitor	Su un sistema multi-monitor, apri sempre la finestra di Explorer nel monitor attivo
lOptionsOpenMenuOnTaskbar	Apri il menù cliccando sulla barra delle applicazioni
lOptionsOpenSettingsOnActiveMonitor	Apri la finestra "Personalizzare" sul monitor attivo
lOptionsOtherOptions	Generale
lOptionsPopupFixPositionX	Posizione X:
lOptionsPopupFixPositionY	Y:
lOptionsPopupHotkeys	Combinazioni di tasti del Popup
lOptionsPopupHotkeysAlternative	Combinazioni per il Menù Alternativo
lOptionsPopupHotkeyTitles	Tasto del Mouse di Quick Access Popup|Scorciatoia da tastiera di Quick Access Popup|Tasto del Mouse del Menù Alternativo|Scorciatoia da tastiera del Menù Alternativo
lOptionsPopupHotkeyTitlesSub	Questo tasto del mouse visualizza il menù popup ovunque (tranne che su <a>excluded applications</a>) e apre direttamente il Preferito o la cartella scelta.|Questo tasto apre il menù popup ovunque e apre direttamente il Preferito o la cartella scelta.|Questo tasto del mouse apre un menù alternativo che contiene varie funzioni. Tale menù può essere aperto ovunque (senza eccezioni).|Questo tasto apre un menù alternativo con varie funzioni. Tale menù può essere aperto ovunque.
lOptionsPopupMenu	Menù Popup
lOptionsQAPTempFolder	Cartella Temporanea
lOptionsRecentFolders	Numero di oggetti nei Menù
lOptionsRecentFoldersPrompt	Menù di file/cartelle Recenti e Frequenti:
lOptionsRefreshedMenusAttached	Aggiungi tutti i menù dinamici al menù principale di QAP
lOptionsRefreshedMenusAttachedInfo	Se abiliti questa opzione, ci potrebbe essere un leggero ritardo nell'aggiornamento (a seconda della configurazione del tuo sistema) ogni volta che visualizzi il menu a popup.`n`nLa durata del ritardo dipende dal tempo che Windows impiega per fornire le informazioni richieste aggiornate per costruire il menu (lista degli oggetti recenti e spazio attualmente disponibile nei dischi). Questo ritardo puó avere durata variabile di volta in volta.`n`nSe disabiliti questa opzione, i menu "~1~", "~2~", "~3~", "~4~" e "~5~" saranno aggiornati solo su richiesta e visualizzati separatamente dal menu principale.
lOptionsRefreshQAPconnectList	Aggiorna lista applicazioni
lOptionsRefreshQAPMenuDebugBeep	Bip prima e dopo l'aggiornamento menù (debug)
lOptionsRefreshQAPMenuIntervalSec	Intervallo di aggiornamento del menù in secondi (consigliato 300s o più)
lOptionsRefreshQAPMenuTitle	Abilita l'aggiornamento programmato del menù QAP
lOptionsRefreshWindowsAppsListAtStartup	Aggiorna la lista di App di Windows ad oggni avvio
lOptionsRememberSettingsPosition	Ricorda la posizione della finestra "Personalizzare"
lOptionsRunAsAdmin	Esegui come Amministratore
lOptionsRunAsAdminAlert	Avviso: Eseguire ~1~ in modalitá Amministratore puó causare conseguenze non prevedibili quando vengano eseguiti programmi che siano infetti con codice malevolo. Ció potrebbe consentire a programmi malevoli di ereditare privilegi di Amministratore ed infettare o prendere il controllo del tuo computer. Sii prudente quando esegui ~1~ in modalitá Amministratore.
lOptionsRunAsAdminChanged	Nuova impostazione "Esegui come amministratore" salvata. Esci da ~1~ e riaprilo per abilitare la nuova impostazione (cioè, non riavviando semplicemente).
lOptionsRunAsAdminShort	Ammin.
lOptionsRunAtStartup	Esegui all'avvio
lOptionsSelectBackupFolder	Seleziona Select la cartella di backup del file delle Impostazioni principali
lOptionsSelectCatalogueRoot	Seleziona la cartella radice del Catalogo dei Menù Condivisi
lOptionsSelectQAPTempFolder	Crea la Cartella Temporanea in:
lOptionsSelectWorkingFolder	Salva Impostazioni in quale cartella?
lOptionsSendToConsoleWithAlt	Usa codici ASCII (ALT+0nnn) per cambiare cartella dalla Linea di Comando (CMD)
lOptionsSettingsStartup	Apri la Finestra "Personalizzare" all'avvio
lOptionsSettingsWindow	Finestra "Personalizzare"
lOptionsSnippets	Frammenti di testo e stringhe di sostituzione
lOptionsSnippetsHelp	Impostazioni predefinite per gli Snippet (<a href="~1~">~2~</a>)
lOptionsSwitchExclusionList	Lista corrente delle Finestre escluse
lOptionsSwitchExclusionListInstructions	Per escludere applicazioni dal menù "Finestre correnti", inserisci qualunque parte del titolo della finestra dell'applicazione. Puoi inserire esclusioni multiple, una per riga. Per esempio, per escludere le finestre delle applicazioni Clippate e FinestreOmbrate, inserisci le seguenti righe nella lista delle esclusioni:`n`nAClippate:`nFinestreOmbrate`n`nPuoi anche escludere finestre tramite il loro nome di classe o di processo (nome del file EXE). Puoi trovare aiuto e supporto su questa funzione <a href="~1~">sul sito di QAP</a>.
lOptionsTabFileManagersIntro	Seleziona il file manager da usare per aprire le cartelle in una nuova finestra.
lOptionsTabFileManagersPreferences	Impostazioni del file manager
lOptionsTabFileManagersPreferred	File manager prescelto
lOptionsTabMouseAndKeyboardIntro	Assegna i tasti del mouse e le combinazioni di tasti che aprono il menù principale di ~1~ .
lOptionsTCWinCmd	File .ini di Total Commander ~1~ non trovato.
lOptionsTheme	Tema
lOptionsThirdParty	Altri File Manager
lOptionsThirdPartyDetail	Seleziona il file del programma (.exe) ~1~ per abilitare l'integrazione di ~1~ .
lOptionsThirdPartyDetailQAPconnect	Seleziona il tuo file manager (o modifica ~1~ per aggiungerlo - vedi l'Aiuto per dettagli).
lOptionsThirdPartyFileNotFound	~1~ file dell'applicazione  "~2~" non trovato.
lOptionsThirdPartySelectedHelp	File Manager selezionato: ~1~ (<a href="~2~">~3~</a>)
lOptionsThirdPartySelectFile	Puoi selezionare il file dell'applicazione di ~1~ usando il tasto "Sfoglia"
lOptionsThirdPartyUseTabs	Usa i tab invece di aprire (in) una nuova finestra
lOptionsTrayTip	All'avvio, Mostra popup dall'area notifiche
lOptionsUsageDbDaysInPopular	Numero di giorni da tenere in conto nei Menù di file/cartelle Frequenti:
lOptionsUsageDbDisabling	Le modifiche alle impostazioni del database saranno attive dopo aver ricaricato ~1~.
lOptionsUsageDbEnable	Abilita il Database ~1~
lOptionsUsageDbFlushDatabase	Elimina gli Oggetti Frequenti dal database
lOptionsUsageDbFlushDatabaseConfirm	Cancellare gli Oggetti Frequenti dal contenuto del database?
lOptionsUsageDbFlushDatabaseDone	Contenuto del database cancellato.
lOptionsUsageDbIntervalSeconds	Intervallo di Raccolta e di Aggiornamento (secondi):
lOptionsUsageDbMaximumSize	Dimensione massima del database (in MB):
lOptionsUsageDbMaximumSizeInvalid	La dimensione massima del database non è un numero valido: ~1~
lOptionsUsageDbShowPopularityIndex	Mostra l'indice di frequenza nella finestra "Personalizzare" e nei menù
lOptionsUsageDbStatement	I dati nel database ~1~ vengono raccolti e memorizzati localmente, esclusivamente allo scopo di costruire i menù dinamici e migliorare le prestazioni. Tali dati risiedono SOLTANTO nel tuo computer e NESSUNA informazione viene mai trasmessa da ~1~ ad un server remoto.
lOptionsUsageDbStatementTitle	Dichiarazione Privacy
lOptionsUserVariables	Variabili Utente
lOptionsUserVariablesList	Variabili Utente
lOptionsUserVariablesListInstructions	Inserire le variabili utente, una per linea. Ciascuna linea deve iniziare con il nome della variabile tra parentesi graffe (e.g. "{MiaVariabile}"), seguita dal segno di uguale "=" ed il contenuto della variabile (e.g. "{MiaVariabile}=Contenuto").`n`nPer esempio, se una linea contiene "{NostraCartellaCondivisa}=S:\QuestaCartella", il segnaposto {NostraCartellaCondivisa} verrà sostituito da "S:\QuestaCartella" in percorsi preferiti o contenuto di ritagli (snippets).
lOptionsWaitDelayInDialogBox	Ritardo (in ms) cambiando cartella nelle caselle di dialogo:
lOptionsWaitDelayInSnippet	Ritardi (in ms) durante l'esecuzione del Frammento di testo
lOptionsWorkingFolder	Cartella Impostazioni
lPickIconNoLocation	Seleziona il preferito prima di scegliere un'icona.
lReloadPrompt	~1~ cambiato in ~2~. Vuoi ricaricare ~3~ in ~2~ ora? Le modifiche non salvate al menù verranno perse.
lSponsoredName	Questo programma è gentilmente sostenuto da ~1~
lSponsoredNone	Per favore, clicca qui per sostenere questo programma
lSponsoredUpdate	Per favore, aggiorna il tuo codice sostenitore (non è richiesta una nuova offerta)
lTCMenuName	Hotlist Cartelle di TC
